confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
3172121,13.0,0.00,16,0.0,10-19,2022-10-01,2022-10-01
3174831,13.0,0,16,16.0,10-19,2022-10-02,2022-10-02
3176358,12.79,0.00,16,0.06,10-19,2022-10-03,2022-10-03
3178466,12.79,0.00,16,0.06,10-19,2022-10-04,2022-10-04
3178466,12.79,0.00,16,0.06,10-19,2022-10-04,2022-10-04
3182768,13.0,0,16,0.0,10-19,2022-10-05,2022-10-05
3185877,13.0,0,16,0.0,10-19,2022-10-06,2022-10-06
3188315,12.79,0,16,0.06,10-19,2022-10-07,2022-10-07
3190527,12.79,0,16,0.06,10-19,2022-10-08,2022-10-08
3192453,12.78,0.00,16,0.06,10-19,2022-10-09,2022-10-09
3193554,13.0,0,16,0.0,10-19,2022-10-10,2022-10-10
3195407,12.78,0,16,0.06,10-19,2022-10-11,2022-10-11
3199195,12.78,0,16,0.06,10-19,2022-10-12,2022-10-12
3202189,13.0,0,17,0.0,10-19,2022-10-13,2022-10-13
3204813,13.0,0,17,0.0,10-19,2022-10-14,2022-10-14
3207434,12.78,0,17,0.06,10-19,2022-10-15,2022-10-15
3209853,12.78,0,17,0.06,10-19,2022-10-16,2022-10-16
3211235,13.0,0,17,0.0,10-19,2022-10-17,2022-10-17
3215573,13.0,0,17,0.0,10-19,2022-10-18,2022-10-18
3215573,13.0,0,17,0.0,10-19,2022-10-18,2022-10-18
3219025,13.0,0,17,0.0,10-19,2022-10-19,2022-10-19
3221713,13.0,0,17,0.0,10-19,2022-10-20,2022-10-20
3224495,13.0,0,17,0.0,10-19,2022-10-21,2022-10-21
3227716,13.0,0,17,0.0,10-19,2022-10-22,2022-10-22
3230773,12.77,0,17,0.06,10-19,2022-10-23,2022-10-23
3232638,12.77,0.00,17,0.06,10-19,2022-10-24,2022-10-24
3232638,12.77,0.00,17,0.06,10-19,2022-10-24,2022-10-24
3238565,12.77,0.00,17,0.06,10-19,2022-10-25,2022-10-25
3238565,12.77,0.00,17,0.06,10-19,2022-10-25,2022-10-25
3243482,13.0,0,17,0.0,10-19,2022-10-26,2022-10-26
3247449,13.0,0,17,0.0,10-19,2022-10-27,2022-10-27
3251791,13.0,0,17,0.0,10-19,2022-10-28,2022-10-28
3256415,13.0,0,17,0.0,10-19,2022-10-29,2022-10-29
3260522,13.0,0,17,0.0,10-19,2022-10-30,2022-10-30
3263047,12.77,0,17,0.06,10-19,2022-10-31,2022-10-31
3260522,12.77,0,17,0.06,10-19,2022-10-31,2022-10-31
3271149,12.77,0,17,0.06,10-19,2022-11-01,2022-11-01
3271149,12.77,0,17,0.06,10-19,2022-11-01,2022-11-01
3277765,13.0,0.00,17,0.0,10-19,2022-11-02,2022-11-02
3277765,13.0,0,17,0.0,10-19,2022-11-02,2022-11-02
3282896,12.77,0,17,0.06,10-19,2022-11-03,2022-11-03
3287916,12.76,0,17,0.06,10-19,2022-11-04,2022-11-04
3292722,12.76,0,17,0.06,10-19,2022-11-05,2022-11-05
3296802,12.76,0,17,0.06,10-19,2022-11-06,2022-11-06
3299072,12.76,0,17,0.06,10-19,2022-11-07,2022-11-07
3307050,12.76,0,17,0.06,10-19,2022-11-08,2022-11-08
3314380,12.76,0,17,0.06,10-19,2022-11-09,2022-11-09
3320405,12.75,0,17,0.06,10-19,2022-11-10,2022-11-10
3326603,12.75,0,17,0.06,10-19,2022-11-11,2022-11-11
3332984,13.0,0.00,17,0.0,10-19,2022-11-12,2022-11-12
3338332,12.74,0,17,0.06,10-19,2022-11-13,2022-11-13
3341241,12.74,0,17,0.06,10-19,2022-11-14,2022-11-14
3349814,12.74,0,17,0.06,10-19,2022-11-15,2022-11-15
3356942,12.74,0,17,0.06,10-19,2022-11-16,2022-11-16
3362451,12.73,0,17,0.06,10-19,2022-11-17,2022-11-17
3367082,12.72,0,17,0.06,10-19,2022-11-18,2022-11-18
3372405,12.72,0,17,0.06,10-19,2022-11-19,2022-11-19
3376885,12.71,0,17,0.06,10-19,2022-11-20,2022-11-20
3379511,12.71,0,17,0.06,10-19,2022-11-21,2022-11-21
3387613,12.71,0,17,0.06,10-19,2022-11-22,2022-11-22
3394993,12.7,0,17,0.06,10-19,2022-11-23,2022-11-23
3401132,12.7,0,18,0.06,10-19,2022-11-24,2022-11-24
3406975,12.69,0,18,0.06,10-19,2022-11-25,2022-11-25
3412908,12.69,0,18,0.06,10-19,2022-11-26,2022-11-26
3417936,12.69,0,18,0.06,10-19,2022-11-27,2022-11-27
3420641,12.69,0,18,0.06,10-19,2022-11-28,2022-11-28
3429667,12.69,0,18,0.06,10-19,2022-11-29,2022-11-29
3437471,12.68,0,18,0.06,10-19,2022-11-30,2022-11-30
3437471,12.68,0,18,0.06,10-19,2022-11-30,2022-11-30
3443743,12.68,0,18,0.06,10-19,2022-12-01,2022-12-01
3449985,12.68,0,18,0.06,10-19,2022-12-02,2022-12-02
3456291,12.68,0,18,0.06,10-19,2022-12-03,2022-12-03
3461559,12.68,0,18,0.06,10-19,2022-12-04,2022-12-04
3464437,12.68,0,18,0.06,10-19,2022-12-05,2022-12-05
3474531,12.68,0,18,0.06,10-19,2022-12-06,2022-12-06
3483440,12.67,0,18,0.06,10-19,2022-12-07,2022-12-07
3491057,12.67,0,18,0.06,10-19,2022-12-08,2022-12-08
3491057,12.67,0,18,0.06,10-19,2022-12-08,2022-12-08
3498355,12.67,0,18,0.06,10-19,2022-12-09,2022-12-09
3498355,12.67,0,18,0.06,10-19,2022-12-09,2022-12-09
3505855,12.67,0,18,0.06,10-19,2022-12-10,2022-12-10
3511969,12.67,0,18,0.06,10-19,2022-12-11,2022-12-11
3515116,13.0,0.00,18,0.0,10-19,2022-12-12,2022-12-12
3525740,12.66,0,18,0.06,10-19,2022-12-13,2022-12-13
3535370,12.66,0,18,0.06,10-19,2022-12-14,2022-12-14
3543069,12.66,0,18,0.06,10-19,2022-12-15,2022-12-15
3550472,12.65,0,18,0.06,10-19,2022-12-16,2022-12-16
3558197,12.65,0,18,0.06,10-19,2022-12-17,2022-12-17
3564725,13.0,0.00,18,0.0,10-19,2022-12-18,2022-12-18
3567862,12.65,0,18,0.06,10-19,2022-12-19,2022-12-19
3578669,12.64,0,18,0.06,10-19,2022-12-20,2022-12-20
3588656,12.64,0,18,0.06,10-19,2022-12-21,2022-12-21
3597125,12.64,0,18,0.06,10-19,2022-12-22,2022-12-22
3604804,12.63,0,18,0.06,10-19,2022-12-23,2022-12-23
3612333,12.63,0,18,0.06,10-19,2022-12-24,2022-12-24
3618809,12.63,0,18,0.06,10-19,2022-12-25,2022-12-25
3621783,12.63,0,18,0.06,10-19,2022-12-26,2022-12-26
3632827,12.63,0,18,0.06,10-19,2022-12-27,2022-12-27
3643618,12.63,0,18,0.06,10-19,2022-12-28,2022-12-28
3652106,12.62,0,18,0.06,10-19,2022-12-29,2022-12-29
3659613,12.62,0,19,0.06,10-19,2022-12-30,2022-12-30
3666477,12.62,0,19,0.06,10-19,2022-12-31,2022-12-31
3672523,12.61,0,19,0.06,10-19,2023-01-01,2023-01-01
3674985,12.61,0,19,0.06,10-19,2023-01-02,2023-01-02
3674985,12.61,0,19,0.06,10-19,2023-01-02,2023-01-02
3683109,13.0,0.00,19,0.1,10-19,2023-01-03,2023-01-03
3690724,12.6,0,19,0.06,10-19,2023-01-04,2023-01-04
3697055,13.0,0.00,20,0.0,10-19,2023-01-05,2023-01-05
3702579,12.59,0,20,0.06,10-19,2023-01-06,2023-01-06
3702579,12.59,0,20,0.06,10-19,2023-01-06,2023-01-06
3707524,13.0,0.00,20,0.1,10-19,2023-01-07,2023-01-07
3711833,12.57,0,20,0.06,10-19,2023-01-08,2023-01-08
3713752,12.57,0.00,20,0.06,10-19,2023-01-09,2023-01-09
3718770,12.56,0,20,0.06,10-19,2023-01-10,2023-01-10
3723297,13.0,0.00,20,0.1,10-19,2023-01-11,2023-01-11
3723297,12.6,0.00,20,0.1,10-19,2023-01-11,2023-01-11
3726966,12.55,0.00,20,0.06,10-19,2023-01-12,2023-01-12
3726966,12.55,0,20,0.06,10-19,2023-01-12,2023-01-12
3730177,12.54,0.00,20,0.06,10-19,2023-01-13,2023-01-13
3732902,12.54,0,20,0.06,10-19,2023-01-14,2023-01-14
3732902,12.54,0,20,0.06,10-19,2023-01-14,2023-01-14
3732902,12.54,0,20,0.06,10-19,2023-01-14,2023-01-14
3735342,12.5,0.00,20,0.1,10-19,2023-01-15,2023-01-15
3736420,12.53,0,20,0.06,10-19,2023-01-16,2023-01-16
3739141,12.52,0.00,20,0.06,10-19,2023-01-17,2023-01-17
3741693,12.51,0,20,0.06,10-19,2023-01-18,2023-01-18
3743925,12.5,0.00,20,0.1,10-19,2023-01-19,2023-01-19
