,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-11-28,6244182.303262768,341.18123901257457,1549.5154982212846,0.0,31521499.4572518,1809.6518750771922,7197.890873128744,0.0,13962506.673702188,2120.3312106652256,7532.995087152435,0.0,51728188.43421675,4271.164324754993,16280.401458502463,0.0
2020-11-29,6244136.0508402595,352.53358413600273,1584.41557560675,0.0,31521307.446706165,1887.4507694457852,7312.102524394507,0.0,13962376.338677624,2186.5553125532947,7597.106009828603,0.0,51727819.83622405,4426.539666135082,16493.62410982986,0.0
2020-11-30,6244073.972918138,378.46688611900237,1620.5601957457166,0.0,31521172.007218786,1902.7923555817852,7432.200425636534,0.0,13962218.324207673,2277.6006575507367,7664.075134782019,0.0,51727464.304344594,4558.859899251524,16716.83575616427,0.0
2020-12-01,6244020.075719116,393.15852535412705,1659.7657555318633,0.0,31520998.168220915,1955.860590068497,7552.9711890216395,0.0,13962078.644583346,2346.275825988301,7735.079590670543,0.0,51727096.88852338,4695.294941410925,16947.816535224047,0.0
2020-12-02,6243966.374547894,406.01370968486117,1700.6117424234699,0.0,31520782.93307686,2046.5241610928117,7677.542762052217,0.0,13961921.3199813,2429.654586340863,7809.0254323646295,0.0,51726670.62760605,4882.1924571185355,17187.179936840315,0.0
2020-12-03,6243902.877606606,427.2619959742535,1742.8603974219602,0.0,31520556.320790667,2141.662655722108,7809.01655361266,0.0,13961757.365108462,2516.0311661965015,7886.603725347168,0.0,51726216.56350573,5084.955817892863,17438.480676381787,0.0
2020-12-04,6243840.591908594,444.85424647747186,1787.553844931632,0.0,31520325.365873434,2233.904655297173,7947.729471269531,0.0,13961509.798127089,2682.2616702190694,7967.940202697863,0.0,51725675.755909115,5361.020571993715,17703.223518899027,0.0
2020-12-05,6243774.5296778185,464.2474656677879,1834.2228565166577,0.0,31520125.10452079,2288.4905689075076,8093.404910302849,0.0,13961287.637828102,2815.513110048554,8056.849061854889,0.0,51725187.27202671,5568.2511446238495,17984.476828674397,0.0
2020-12-06,6243731.700792101,458.2165324593144,1883.082675442548,0.0,31519930.57154534,2333.5458516881845,8242.88260297066,0.0,13960983.92207341,3024.3684807662235,8151.709445827945,0.0,51724646.19441085,5816.130864913723,18277.674724241155,0.0
2020-12-07,6243696.116205478,445.9394659019001,1930.9443286227497,0.0,31519739.785958353,2371.861545998065,8395.352495645926,0.0,13960686.68062064,3217.1987936894448,8256.120585675584,0.0,51724122.582784474,6034.99980558941,18582.41740994426,0.0
2020-12-08,6243650.770927121,445.19703266416263,1977.0320402173734,0.0,31519557.76272083,2398.9970376802257,8550.240241485537,0.0,13960419.961223569,3370.7732515923512,8369.265524844299,0.0,51723628.49487153,6214.96732193674,18896.53780654721,0.0
